Name,FP
ASTRALS,11.00 
CETS ON CRECK,38.50 
Doge Track: Genesis Doges,0.79 
Project TENJIN,2.40 
Sea Shanties Citizens Gen1,4.90 
Magnum AI,0.75 
Honey Genesis Bee,2.50 
CyberVillainz,1.55 
Moshiheads,2.38 
BongHeads,2.79 
CryptoStraps,1.00 
Drippies™️,3.20 
Botborgs,2.45 
Sugar Realm,0.40 
DIAMOND TOWN HEADS,0.99 
Guild Saga Heroes,1.20 
Cynova Legacy,1.14 
Zilla vs Kong,9.00 
Bulldog Billionaires,32.50 
Solana Pawn Stars,1.80 
Solana Puppy Pound,2.00 
The Sol Army,32.69 
Kirei Pigs Collection,0.79 
Cosmic Ape Crusaders,6.60 
Dahlys,5.60 
Fearless Bulls Club,1.31 
